Fecha,Total de operaciones enviadas
13/12/2022,12200
14/12/2022,12161
15/12/2022,14327
16/12/2022,15479
17/12/2022,9579
18/12/2022,6089
19/12/2022,11968
20/12/2022,11858
21/12/2022,11425
22/12/2022,12061
23/12/2022,13032
24/12/2022,7002
25/12/2022,3433
26/12/2022,9066
27/12/2022,8853
28/12/2022,10006
29/12/2022,11379
30/12/2022,14082
31/12/2022,8690
01/01/2023,4267
02/01/2023,10947
03/01/2023,11136
04/01/2023,10930
05/01/2023,12247
06/01/2023,12752
07/01/2023,7194
08/01/2023,5665
09/01/2023,11197
10/01/2023,10997
11/01/2023,10743
12/01/2023,11463
13/01/2023,16490
14/01/2023,8383
15/01/2023,6638
16/01/2023,12457
17/01/2023,11301
18/01/2023,11065
19/01/2023,11694
20/01/2023,13578
21/01/2023,7405
22/01/2023,5441
23/01/2023,10958
24/01/2023,10629
25/01/2023,10453
26/01/2023,11356
27/01/2023,14584
28/01/2023,7800
29/01/2023,5417
30/01/2023,12145
31/01/2023,12793
01/02/2023,12299
02/02/2023,12387
03/02/2023,14659
04/02/2023,7386
05/02/2023,5611
06/02/2023,7559
07/02/2023,12051
08/02/2023,11034
09/02/2023,11842
10/02/2023,14514
11/02/2023,7511
12/02/2023,5421
13/02/2023,11522
14/02/2023,11936
15/02/2023,12722
16/02/2023,12721
17/02/2023,14831
18/02/2023,7761
19/02/2023,5661
20/02/2023,10965
21/02/2023,10339
22/02/2023,10017
23/02/2023,11639
24/02/2023,14728
25/02/2023,7491
26/02/2023,5394
27/02/2023,11720
28/02/2023,14126
01/03/2023,13033
02/03/2023,13428
03/03/2023,16380
04/03/2023,8853
05/03/2023,7261
06/03/2023,12942
07/03/2023,11190
08/03/2023,10977
09/03/2023,12431
10/03/2023,14978
11/03/2023,7319
12/03/2023,4659
13/03/2023,10991
14/03/2023,12497
15/03/2023,13783
16/03/2023,13570
17/03/2023,14957
18/03/2023,7839
19/03/2023,5021
20/03/2023,7101
21/03/2023,11550
22/03/2023,11067
23/03/2023,12037
24/03/2023,14635
25/03/2023,7458
26/03/2023,5124
27/03/2023,11474
28/03/2023,11359
29/03/2023,11903
30/03/2023,13337
31/03/2023,17349
01/04/2023,8926
02/04/2023,5838
03/04/2023,11452
04/04/2023,11348
05/04/2023,12830
06/04/2023,10222
07/04/2023,5911
08/04/2023,6230
09/04/2023,5219
10/04/2023,11485
11/04/2023,10140
12/04/2023,10369
